"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    30202.75","    30251.20","    30119.10","    30234.25","       10343897","          676.25"
"02-Jan-2020","    30271.30","    30357.30","    30220.05","    30266.20","       17998667","          939.47"
"03-Jan-2020","    30302.15","    30306.05","    30050.75","    30109.25","       20089305","         1229.69"
"06-Jan-2020","    30024.75","    30049.30","    29765.15","    29799.30","       17667570","         1011.20"
"07-Jan-2020","    29903.05","    30049.35","    29841.15","    29861.80","       18622056","         1097.36"
"08-Jan-2020","    29685.15","    29932.80","    29660.10","    29893.20","       18127207","         1302.85"
"09-Jan-2020","    30071.40","    30170.65","    30035.30","    30123.60","       25835515","         1540.16"
"10-Jan-2020","    30244.55","    30393.20","    30183.80","    30370.45","       27618464","         1371.61"
"13-Jan-2020","    30455.75","    30735.45","    30443.50","    30713.45","       31666435","         1834.49"
"14-Jan-2020","    30798.55","    31179.30","    30690.70","    31145.40","       67441140","         3240.44"
"15-Jan-2020","    31133.40","    31273.05","    31006.30","    31237.10","       38166019","         2067.56"
"16-Jan-2020","    31255.90","    31507.70","    31210.95","    31338.20","       33199268","         2277.62"
"17-Jan-2020","    31372.25","    31490.75","    31305.65","    31371.45","       21148293","         1271.50"
"20-Jan-2020","    31369.65","    31546.80","    31368.10","    31426.75","       24432676","         1370.05"
"21-Jan-2020","    31358.35","    31362.85","    31105.50","    31145.95","       22451037","         1161.50"
"22-Jan-2020","    31270.70","    31275.60","    31024.40","    31153.15","       19256107","         1130.25"
"23-Jan-2020","    31147.00","    31257.15","    30995.30","    31226.90","       25011188","         1319.04"
"24-Jan-2020","    31223.05","    31526.95","    31173.80","    31474.90","       21949485","         1375.91"
"27-Jan-2020","    31373.25","    31450.35","    31110.55","    31149.70","       17500325","          976.58"
"28-Jan-2020","    31210.55","    31234.10","    31007.20","    31027.05","       49576185","         2901.77"
"29-Jan-2020","    31150.45","    31506.55","    31132.20","    31426.25","       46825220","         2601.18"
"30-Jan-2020","    31419.20","    31438.35","    30849.85","    30936.45","       37175318","         2540.91"
"31-Jan-2020","    31099.25","    31108.60","    30729.60","    30775.30","       49149652","         2871.93"
"01-Feb-2020","    30865.05","    31140.00","    30016.40","    30196.65","       60387092","         2514.25"
"03-Feb-2020","    30049.30","    30702.95","    29833.05","    30435.30","      102457740","         4310.87"
"04-Feb-2020","    30614.05","    30857.05","    30467.00","    30744.00","       58565411","         2751.13"
"05-Feb-2020","    30885.20","    30984.50","    30736.05","    30934.40","       64580430","         2859.80"
"06-Feb-2020","    31055.40","    31158.65","    30590.25","    30736.60","       49485384","         2314.59"
"07-Feb-2020","    30806.50","    30930.00","    30724.05","    30809.50","       47794999","         2450.00"
"10-Feb-2020","    30863.70","    30872.15","    30496.55","    30528.45","       24442191","         1666.28"
"11-Feb-2020","    30856.25","    30871.15","    30375.35","    30414.55","       46118449","         2078.76"
"12-Feb-2020","    30494.95","    31084.45","    30488.45","    30986.25","       35306974","         2975.79"
"13-Feb-2020","    30968.35","    31066.60","    30817.55","    31039.30","       27421091","         2150.39"
"14-Feb-2020","    31036.90","    31205.90","    30556.30","    30646.75","       29591320","         1793.23"
"17-Feb-2020","    30660.35","    30788.60","    30451.10","    30481.05","       35459574","         1819.01"
"18-Feb-2020","    30463.00","    30471.35","    30076.65","    30360.60","       40610242","         1938.50"
"19-Feb-2020","    30529.40","    30888.90","    30440.35","    30835.00","       28679644","         1885.78"
"20-Feb-2020","    30807.75","    30904.45","    30585.20","    30636.25","       34634952","         1836.83"
"24-Feb-2020","    30545.50","    30590.00","    30108.40","    30147.60","       32962208","         1786.82"
"25-Feb-2020","    30295.80","    30580.25","    30145.10","    30173.20","       31166143","         1846.41"
"26-Feb-2020","    30155.10","    30231.75","    29851.20","    29965.55","       35992533","         2161.59"
"27-Feb-2020","    29993.40","    30012.60","    29622.25","    29981.20","       33412776","         2022.87"
"28-Feb-2020","    29468.40","    29578.50","    29151.80","    29310.25","       60349528","         3312.20"
"02-Mar-2020","    29610.15","    29913.10","    28911.50","    29138.90","       40844563","         2311.88"
"03-Mar-2020","    29350.45","    29539.50","    29119.50","    29406.20","       40485393","         2290.63"
"04-Mar-2020","    29563.15","    29604.70","    28873.35","    29223.75","       45837467","         2210.72"
"05-Mar-2020","    29333.25","    29844.10","    29332.05","    29530.50","       38389692","         2305.92"
"06-Mar-2020","    28988.20","    29201.75","    28689.45","    28937.00","       47823517","         2312.56"
"09-Mar-2020","    28466.25","    28530.45","    27841.30","    28056.50","       43871379","         2283.57"
"11-Mar-2020","    27697.95","    28256.90","    27639.30","    28078.75","       48363955","         2479.76"
"12-Mar-2020","    27305.85","    27319.60","    25716.20","    26083.00","       85959069","         3740.60"
"13-Mar-2020","    24896.85","    26935.00","    23420.40","    26208.00","       93535575","         3752.03"
"16-Mar-2020","    25586.40","    25624.35","    24492.70","    24707.65","       57561430","         2679.64"
"17-Mar-2020","    24850.50","    25677.55","    24598.20","    24929.85","       74735778","         3027.26"
"18-Mar-2020","    25269.25","    25392.65","    24047.00","    24186.50","       74132447","         3017.75"
"19-Mar-2020","    23695.90","    24382.00","    22699.05","    23970.75","      118829938","         3781.50"
"20-Mar-2020","    24198.20","    26113.70","    24198.20","    25931.60","       87762108","         3500.99"
"23-Mar-2020","    23950.55","    24373.55","    23082.20","    23184.05","       69667235","         2477.46"
"24-Mar-2020","    24123.30","    24584.85","    23390.45","    23935.30","       83206249","         3679.16"
"25-Mar-2020","    23804.85","    24695.25","    23646.70","    24471.70","       92962761","         3654.07"
"26-Mar-2020","    24727.15","    26091.05","    24295.60","    25680.10","       87681348","         3359.69"
"27-Mar-2020","    26382.25","    26557.70","    25301.80","    25740.45","       55047455","         2532.53"
"30-Mar-2020","    25218.50","    26164.10","    25159.85","    25831.55","       48612218","         2410.00"
"31-Mar-2020","    26472.75","    27406.20","    26038.80","    27319.20","       64851135","         2700.48"
"01-Apr-2020","    27346.95","    27683.90","    26197.05","    26358.80","       41906619","         2357.79"
"03-Apr-2020","    26716.50","    27180.75","    26114.20","    26537.75","       90161887","         3517.89"
"07-Apr-2020","    27491.60","    28823.50","    27272.90","    28745.30","       70920964","         4510.85"
"08-Apr-2020","    28600.25","    29817.60","    28397.35","    28839.90","       75200365","         5179.12"
"09-Apr-2020","    29500.75","    29501.20","    28764.25","    28953.20","       76633055","         3862.95"
"13-Apr-2020","    28913.30","    28963.05","    28357.75","    28509.85","       41204171","         2397.43"
"15-Apr-2020","    28979.60","    29865.35","    28880.60","    29686.95","      106868399","        10280.94"
"16-Apr-2020","    29563.45","    30023.00","    29233.10","    29512.30","       61078096","         3879.60"
"17-Apr-2020","    30202.75","    30202.75","    29092.35","    29202.35","       57684415","         3509.68"
"20-Apr-2020","    29490.25","    29490.25","    28542.30","    28598.10","       56367919","         2694.25"
"21-Apr-2020","    28134.30","    28791.20","    28063.30","    28480.60","       46484214","         2764.71"
"22-Apr-2020","    28453.35","    29264.25","    28197.10","    29185.15","       50159275","         3055.08"
"23-Apr-2020","    29278.45","    29698.35","    28689.60","    28786.25","       63716288","         4326.74"
"24-Apr-2020","    28736.45","    29008.90","    28591.20","    28636.70","       42113333","         2946.71"
"27-Apr-2020","    28805.20","    29101.65","    28771.60","    29052.55","       42007893","         2912.86"
"28-Apr-2020","    29208.90","    29233.40","    28636.00","    28778.15","       39175236","         2465.34"
"29-Apr-2020","    28887.50","    28932.35","    28608.25","    28665.00","       43005148","         2702.84"
